year, semester, courseName, type, units, lec/lab
1, 1, , ge(ah), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, math17, core, 5, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, math19, core, 3, lec
1, 2, math20, core, 3, lec
1, 2, math53, core, 5, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, math54, core, 5, lec
2, 1, math54, core, 5, lec
2, 1, math54, core, 5, lec
2, 1, physics74, core, 4, lec
2, 1, physics74, core, , lab
2, 1, econ11, , 3, lec
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, math55, core, 3, lec
2, 2, math108, core, 3, lec
2, 2, physics75, core, 4, lec
2, 2, physics75, core, , lab
2, 2, stat110, core, 4, lec
2, 2, , pe, 2, lec
3, 1, , ge(ah), 3, lec
3, 1, , ge(mst), 3, lec
3, 1, math114, core, 3, lec
3, 1, math121, core, 3, lec
3, 1, math153, core, 3, lec
3, 1, math153, core, , lab
3, 1, stat111, core, 4, lec
3, 2, , ge(ah), 3, lec
3, 2, , ge(ssp), 3, lec
3, 2, math140, core, 3, lec
3, 2, math173, core, 3, lec
3, 2, math173, core, , lab
3, 2, math183, core, 3, lec
3, 2, , elective, 3, lec
3, midyear, math191, core, 3, lec
4, 1, , ge(ssp), 3, lec
4, 1, , ge(ssp), 3, lec
4, 1, math123, core, 3, lec
4, 1, math174, core, 3, lec
4, 1, math174, core, , lab
4, 1, , elective, 3, lec
4, 1, , elective, 3, lec
4, 2, , ge(mst), 3, lec
4, 2, math128, core, 3, lec
4, 2, math196, core, 3, lec
4, 2, pi100, service, 3, lec
4, 2, , elective, 3, lec
4, 2, , elective, 3, lec
