year, semester, courseName, type, units, lec/lab
1, 1, , ge(ah), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, eng1, core, 3, lec
1, 1, cms11, core, 3, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, speech136, core, 3, lec
1, 2, cms100, core, 3, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, , cmselective, 3, lec
2, 1, cms101, core, 3, lec
2, 1, cms105, core, 3, lec
2, 1, hiligaynon10, core, 3, lec
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, , ge(mst), 3, lec
2, 2, , cmselective, 3, lec
2, 2, cms102, core, 3, lec
2, 2, cms103, core, 3, lec
2, 2, filipino12, core, 3, lec
2, 2, , pe, 2, lec
3, 1, cms104, core, 3, lec
3, 1, cms107, core, 3, lec
3, 1, , cmselective, 3, lec
3, 1, , cmselective, 3, lec
3, 1, , cmselective, 3, lec
3, 1, , cmselective, 3, lec
3, 2, cms110, core, 3, lec
3, 2, cms196, core, 3, lec
3, 2, cms197, core, 3, lec
3, 2, , cmselective, 3, lec
3, 2, , cmselective, 3, lec
3, 2, , cmselective, 3, lec
3, midyear, cms191, core, 3, lec
4, 1, , ge(ah), 3, lec
4, 1, cms198, core, 3, lec
4, 1, , cmselective, 3, lec
4, 1, , cmselective, 3, lec
4, 1, pi100, service, 3, lec
4, 2, , ge(ssp), 3, lec
4, 2, , ge(mst), 3, lec
4, 2, cms200, core, 3, lec
4, 2, , cmselective, 3, lec
4, 2, , cmselective, 3, lec
