year, semester, courseName, type, units, lec/lab
1, 1, , ge(ah), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, math11, service, 3, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, econ11, core, 3, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, hist100, core, 3, lec
2, 1, fil10/spanish1, service, 3, lec
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, , historyelective, 3, lec
2, 2, , majorelective, 3, lec
2, 2, socsci101, core, 3, lec
2, 2, hist102, core, 3, lec
2, 2, fil11/spanish2, service, 3, lec
2, 2, , pe, 2, lec
3, 1, hist114, core, 3, lec
3, 1, hist154, core, 3, lec
3, 1, , ge(ssp), 3, lec
3, 1, , ge(mst), 3, lec
3, 1, , majorelective, 3, lec
3, 1, , majorelective, 3, lec
3, 2, hist110, core, 3, lec
3, 2, hist151, core, 3, lec
3, 2, hist199, core, 3, lec
3, 2, , majorelective, 3, lec
3, 2, , majorelective, 3, lec
3, 2, , majorelective, 3, lec
4, 1, socsci199.1, core, 3, lec
4, 1, hist112, core, 3, lec
4, 1, hist116, core, 3, lec
4, 1, , historyelective, 3, lec
4, 1, , majorelective, 3, lec
4, 1, , majorelective, 3, lec
4, 2, socsci199.2, core, 3, lec
4, 2, pi100, core, 3, lec
4, 2, , ge(mst), 3, lec
4, 2, , historyelective, 3, lec
4, 2, , majorelective, 3, lec
4, 2, , majorelective, 3, lec
