year, semester, courseName, type, units, lec/lab
1, 1, , ge(ah), 3, lec
1, 1, , ge(mst), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , languagecourse, 3, lec
1, 1, polsci11, core, 3, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(mst), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, , languagecourse, 3, lec
1, 2, math11, service, 3, lec
1, 2, polsci14, core, 3, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, , ge(ssp), 3, lec
2, 1, socsci101, core, 3, lec
2, 1, polsci160, core, 3, lec
2, 1, philo171/equivalent, core, 3, lec
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, , ge(ssp), 3, lec
2, 2, polsci150, core, 3, lec
2, 2, , polscielective, 3, lec
2, 2, , qualifiedelective, 3, lec
2, 2, econ11, core, 3, lec
2, 2, , pe, 2, lec
3, 1, , ge(ah), 3, lec
3, 1, , ge(mst), 3, lec
3, 1, , polscielective, 3, lec
3, 1, , qualifiedelective, 3, lec
3, 1, , qualifiedelective, 3, lec
3, 1, polsci170, core, 3, lec
3, 1, polsci180, core, 3, lec
3, 2, polsci185, core, 3, lec
3, 2, polsci192, core, 3, lec
3, 2, , polscielective, 3, lec
3, 2, , qualifiedelective, 3, lec
3, 2, , qualifiedelective, 3, lec
3, 2, , qualifiedelective, 3, lec
4, 1, , polscielective, 3, lec
4, 1, , qualifiedelective, 3, lec
4, 1, , qualifiedelective, 3, lec
4, 1, , qualifiedelective, 3, lec
4, 2, , polscielective, 3, lec
4, 2, , qualifiedelective, 3, lec
4, 2, , ge(mst), 3, lec
4, 2, socsci199.2, core, 3, lec
4, 2, polsci193, core, 3, lec
4, 2, pi100, core, 3, lec
