year, semester, courseName, type, units, lec/lab
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ah), 3, lec
1, 1, math17, core, 5, lec
1, 1, stat104, core, 3, lec
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(mst), 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, math53, core, 5, lec
1, 2, stat117, core, 3, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, , ge(ah), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, math54, core, 5, lec
2, 1, math153, core, 3, lec
2, 1, math153, core, , lab
2, 1, stat121, core, 3, lec
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, , ge(ssp), 3, lec
2, 2, , ge(ssp), 3, lec
2, 2, math55, core, 5, lec
2, 2, math114, core, 3, lec
2, 2, stat122, core, 3, lec
2, 2, , pe, 2, lec
3, 1, , ge(ah), 3, lec
3, 1, stat131, core, 4, lec
3, 1, stat131, core, , lab
3, 1, stat138, core, 3, lec
3, 1, stat138, core, , lab
3, 1, math121, core, 3, lec
3, 1, , ge(mst3), 3, lec
3, 1, , cs/mathelective, 3, lec
3, 2, , ge(mst4), 3, lec
3, 2, stat129, core, 3, lec
3, 2, stat132, core, 3, lec
3, 2, stat140, core, 3, lec
3, 2, , statelective, 3, lec
3, 2, , statelective, 3, lec
4, 1, stat130, core, 3, lec
4, 1, stat145, core, 3, lec
4, 1, stat141, core, 3, lec
4, 1, stat149, core, 3, lec
4, 1, , statelective, 3, lec
4, 1, , cs/mathelective, 3, lec
4, 2, stat150, core, 3, lec
4, 2, stat142, core, 3, lec
4, 2, pi100, service, 3, lec
4, 2, , statelective, 3, lec
4, 2, , statelective, 3, lec
4, 2, , elective, 3, lec
