courseName, type
philo1, ge(ssp)
psych10, ge(ssp)
comm1, ge(ah)
envisci1, ge(mst)
math17, service
pe1, service
cwts, nstp
lit1, ge(ah)
aquasci1, ge(mst)
math100, service
socsci1, ge(ssp)
socsci2, ge(ssp)
econ11, core
basketball, pe
cwts, nstp
lit2, ge(ah)
bio1, ge(mst)
comm2, ge(ah)
econ101, core
econ102, core
math101, service
volleyball, pe
hum1, ge(ah)
socsci26, ge(ssp)
econ115, core
econ106, core
econ151, core
math152, service
math152, service
football, pe
eng10, service
econ131, core
econ153, core
econ171, core
cd101, econelective
hist101, elective
